iter	AUC	Logloss
0	0.5562023222	0.6760726929
1	0.5600235686	0.6608408822
2	0.5599447489	0.6473210644
3	0.5600705892	0.6353532345
4	0.5600934029	0.6248630136
5	0.743937701	0.6027207363
6	0.8179440796	0.5788372994
7	0.8308202028	0.5611864449
8	0.8348021507	0.5457584144
9	0.8409974277	0.5280861159
10	0.8704978824	0.5138696693
11	0.8714743853	0.5022762465
12	0.8732452691	0.4883627895
13	0.8730029464	0.479715737
14	0.8724059761	0.471596161
15	0.8798671067	0.4616095358
16	0.8813587725	0.4555282982
17	0.885292381	0.4472898057
18	0.8851240277	0.4411525214
19	0.884509176	0.4329103175
20	0.8843420148	0.4287356805
21	0.8866416216	0.4224634343
22	0.8864577711	0.4180564003
23	0.8860275149	0.4123643407
24	0.8856320381	0.4088377838
25	0.8859613836	0.4070378406
26	0.8852366507	0.4025386201
27	0.8886472583	0.3997005193
28	0.8906683922	0.3963979243
29	0.8927848041	0.3926947172
30	0.8940293193	0.3885071464
31	0.8954679072	0.3845987595
32	0.8984666467	0.3792043286
33	0.899885267	0.376807666
34	0.899897933	0.3756046672
35	0.8994283974	0.3725880417
36	0.8994738162	0.3711006855
37	0.8994588852	0.3696547927
38	0.9003603458	0.3677189878
39	0.9001990557	0.3649663255
40	0.9000622332	0.363792456
41	0.9008512497	0.3600628563
42	0.9034153819	0.3585055448
43	0.9043023586	0.3562824584
44	0.9051913321	0.3548977108
45	0.9057402313	0.3537176556
46	0.9069665074	0.3526484567
47	0.9077124894	0.3488085255
48	0.9086112976	0.3462703778
49	0.9094231129	0.3443710876
50	0.9096432924	0.3436107267
51	0.9099324644	0.3428476666
52	0.909716934	0.341466443
53	0.910084784	0.3404561401
54	0.9107170105	0.3388742355
55	0.9109576643	0.3367281898
56	0.9113349617	0.335042552
57	0.9114946127	0.3335942224
58	0.9117639959	0.3313434687
59	0.9118275642	0.3292171799
60	0.9122421443	0.3286389053
61	0.9125717282	0.3274204609
62	0.9128939807	0.3261074306
63	0.9130064845	0.3254902419
64	0.9140103459	0.3234115648
65	0.9142769575	0.3229441839
66	0.9144691527	0.3225397478
67	0.9148317277	0.3213770127
68	0.914927721	0.3209694275
69	0.9149774015	0.320008948
70	0.9150477648	0.3195342192
71	0.9150666893	0.318737531
72	0.9152649343	0.3181573444
73	0.9153012931	0.3178485813
74	0.9155545533	0.317105653
75	0.9157050848	0.3163993894
76	0.9158889651	0.3156967248
77	0.9159926176	0.3151495289
78	0.9161373079	0.3145089843
79	0.9161226451	0.3138336869
80	0.9163020849	0.3129364708
81	0.9169972539	0.3119228875
82	0.9173014462	0.3110808746
83	0.9179028869	0.3092624304
84	0.9181320369	0.308750737
85	0.9183312953	0.3081119357
86	0.9184395969	0.3075856214
87	0.9184074402	0.3065822539
88	0.9186386168	0.3058457551
89	0.9186983407	0.3056753468
90	0.9187756777	0.3052681365
91	0.918795675	0.3047632099
92	0.9191247821	0.304084576
93	0.9194916785	0.302989903
94	0.9195306897	0.3028444065
95	0.9195856154	0.3025358871
96	0.9196322858	0.3023962577
97	0.9197590053	0.3019999568
98	0.9197778404	0.3015704403
99	0.9201614559	0.3002102108
100	0.920345366	0.2996641958
101	0.9204193056	0.2994026507
102	0.9206399322	0.2989472102
103	0.920750767	0.2983720284
104	0.9208038449	0.2981728095
105	0.9207776785	0.2979041789
106	0.9208236337	0.2978058629
107	0.9208733737	0.2975764837
108	0.9209208786	0.2974180533
109	0.9210695624	0.2969892303
110	0.9211650789	0.296780939
111	0.9211969078	0.2966216276
112	0.9217862785	0.2955981283
113	0.9218747616	0.2953254489
114	0.9219651818	0.2950624604
115	0.9219816327	0.294971586
116	0.9221496582	0.2943614828
117	0.9221677184	0.2942500829
118	0.9221746922	0.2941835767
119	0.9222047627	0.2939902061
120	0.9222276211	0.293921263
121	0.9223624468	0.2934973699
122	0.9224442244	0.2932647292
123	0.9225077033	0.2929965297
124	0.9225320816	0.2927153963
125	0.9226117432	0.2925714181
126	0.9226861	0.2923985731
127	0.9227766991	0.2921708434
128	0.9228439927	0.2919725243
129	0.9228636026	0.2917438387
130	0.9228996038	0.2916687848
131	0.922962606	0.29149056
132	0.9229824841	0.2914392182
133	0.9230544269	0.2910871549
134	0.9230822623	0.2909901697
135	0.9232001305	0.2907584474
136	0.923286438	0.2906299336
137	0.9233787656	0.2904507341
138	0.9234173894	0.2903485753
139	0.9234202802	0.2903165406
140	0.9234407246	0.2902244665
141	0.9234685898	0.2901717751
142	0.9235155582	0.290054077
143	0.9235585928	0.2899232951
144	0.9237568974	0.2894706101
145	0.9238368869	0.2892354763
146	0.9240648448	0.2887286753
147	0.9241268635	0.2885801046
148	0.9241834879	0.2884893989
149	0.924459666	0.2879850722
150	0.9244775772	0.2878968595
151	0.9244834781	0.2878717228
152	0.9245257676	0.2877494885
153	0.9246205688	0.2874497979
154	0.9246422052	0.2872975345
155	0.9246664345	0.287232884
156	0.9246906638	0.2871754876
157	0.9247034192	0.2870946604
158	0.9246930182	0.2869856036
159	0.92475757	0.2868286166
160	0.9247807264	0.2867318188
161	0.9248637259	0.286520772
162	0.925126791	0.2860713486
163	0.9251365662	0.2860462869
164	0.9251521528	0.286003024
165	0.925262332	0.2857691087
166	0.9252740741	0.2857300634
