iter	Passed	Remaining
0	45	45018
1	91	45431
2	136	45494
3	183	45739
4	215	42796
5	262	43553
6	308	43724
7	355	44052
8	392	43179
9	422	41842
10	468	42078
11	505	41639
12	535	40665
13	567	39941
14	604	39674
15	642	39490
16	679	39280
17	726	39647
18	772	39884
19	817	40055
20	862	40205
21	908	40383
22	953	40496
23	990	40269
24	1036	40429
25	1074	40239
26	1112	40098
27	1160	40268
28	1198	40112
29	1243	40198
30	1282	40074
31	1319	39927
32	1368	40090
33	1415	40223
34	1452	40055
35	1498	40118
36	1527	39766
37	1557	39438
38	1604	39526
39	1651	39634
40	1696	39689
41	1733	39534
42	1778	39587
43	1816	39469
44	1862	39521
45	1909	39595
46	1956	39668
47	2003	39726
48	2049	39768
49	2095	39806
50	2126	39574
51	2157	39337
52	2188	39100
53	2235	39160
54	2281	39206
55	2329	39269
56	2377	39328
57	2421	39333
58	2467	39360
59	2511	39353
60	2560	39413
61	2590	39188
62	2637	39224
63	2683	39251
64	2731	39289
65	2779	39339
66	2826	39366
67	2872	39376
68	2911	39279
69	2957	39295
70	2996	39208
71	3034	39113
72	3081	39133
73	3127	39137
74	3173	39142
75	3222	39176
76	3253	39003
77	3293	38927
78	3332	38851
79	3378	38854
80	3425	38863
81	3473	38889
82	3521	38903
83	3566	38890
84	3611	38871
85	3655	38845
86	3700	38833
87	3745	38815
88	3792	38821
89	3822	38649
90	3871	38667
91	3917	38661
92	3963	38657
93	4011	38659
94	4058	38665
95	4104	38647
96	4150	38641
97	4197	38634
98	4242	38615
99	4291	38621
100	4337	38606
101	4383	38592
102	4429	38575
103	4475	38556
104	4523	38560
105	4569	38543
106	4617	38539
107	4663	38517
108	4711	38516
109	4761	38522
110	4809	38521
111	4858	38517
112	4905	38502
113	4952	38491
114	4999	38474
115	5048	38475
116	5096	38462
117	5142	38440
118	5190	38428
119	5239	38422
120	5287	38407
121	5333	38381
122	5380	38363
123	5427	38342
124	5474	38324
125	5522	38305
126	5568	38280
127	5607	38198
128	5656	38189
129	5704	38175
130	5751	38150
131	5807	38188
132	5855	38169
133	5902	38144
134	5948	38116
135	5996	38097
136	6043	38069
137	6090	38045
138	6137	38017
139	6183	37986
140	6232	37969
141	6279	37939
142	6326	37916
143	6374	37894
144	6412	37812
145	6458	37778
146	6497	37705
147	6545	37678
148	6590	37639
149	6637	37613
150	6682	37572
151	6720	37494
152	6769	37475
153	6818	37458
154	6867	37438
155	6916	37419
156	6964	37395
157	7011	37363
158	7059	37340
159	7106	37309
160	7154	37281
161	7202	37259
162	7251	37235
163	7298	37205
164	7346	37177
165	7395	37154
166	7434	37081
167	7482	37054
168	7528	37017
169	7577	36998
170	7625	36970
171	7673	36942
172	7722	36917
173	7768	36878
174	7814	36840
175	7852	36764
176	7900	36735
177	7946	36696
178	7993	36664
179	8040	36629
180	8087	36594
181	8126	36523
182	8164	36451
183	8213	36426
184	8261	36395
185	8308	36359
186	8355	36324
187	8402	36292
188	8450	36259
189	8496	36221
190	8545	36196
191	8584	36127
192	8633	36100
193	8681	36068
194	8728	36032
195	8774	35992
196	8820	35951
197	8865	35910
198	8913	35878
199	8958	35834
200	9005	35796
201	9042	35724
202	9081	35655
203	9129	35621
204	9168	35554
205	9214	35515
206	9261	35480
207	9306	35437
208	9353	35400
209	9401	35367
210	9448	35330
211	9487	35266
212	9535	35232
213	9573	35161
214	9620	35127
215	9659	35061
216	9705	35019
217	9751	34979
218	9797	34940
219	9842	34896
220	9889	34858
221	9933	34813
222	9979	34772
223	10026	34736
224	10075	34703
225	10121	34663
226	10166	34618
227	10210	34573
228	10258	34537
229	10304	34496
230	10351	34460
231	10389	34392
232	10435	34350
233	10480	34306
234	10528	34273
235	10573	34230
236	10612	34167
237	10658	34125
238	10695	34056
239	10741	34015
240	10790	33982
241	10835	33939
242	10880	33895
243	10928	33860
244	10975	33823
245	11013	33756
246	11060	33718
247	11105	33673
248	11152	33636
249	11189	33568
250	11236	33530
251	11266	33442
252	11316	33411
253	11362	33371
254	11399	33303
255	11436	33236
256	11475	33175
257	11519	33128
258	11564	33087
259	11604	33028
260	11651	32990
261	11689	32927
262	11737	32890
263	11782	32849
264	11820	32785
265	11857	32718
266	11897	32661
267	11943	32622
268	11989	32582
269	12036	32543
270	12075	32484
271	12123	32449
272	12161	32384
273	12208	32347
274	12255	32309
275	12300	32267
276	12345	32224
277	12391	32181
278	12437	32141
279	12482	32096
280	12527	32053
281	12573	32013
282	12621	31978
283	12668	31939
284	12715	31901
285	12753	31839
286	12802	31805
287	12848	31764
288	12894	31723
289	12943	31688
290	12989	31646
291	13034	31604
292	13079	31559
293	13128	31525
294	13159	31449
295	13207	31411
296	13253	31371
297	13284	31293
298	13323	31237
299	13362	31178
300	13399	31117
301	13448	31082
302	13495	31044
303	13541	31003
304	13579	30943
305	13625	30901
306	13670	30859
307	13709	30801
308	13757	30764
309	13795	30705
310	13840	30663
311	13869	30584
312	13901	30512
313	13950	30477
314	13979	30400
315	14018	30344
316	14056	30285
317	14102	30245
318	14140	30187
319	14186	30146
320	14232	30105
321	14277	30063
322	14324	30024
323	14373	29988
324	14419	29948
325	14465	29906
