iter	MultiClass
0	1.875729167
1	1.644527669
2	1.47198763
3	1.331860921
4	1.210945638
5	1.108765625
6	1.027016764
7	0.9506943359
8	0.8922719727
9	0.8376051432
10	0.784132487
11	0.744370931
12	0.7037107747
13	0.6647318115
14	0.6336007487
15	0.6073736979
16	0.57634611
17	0.5544910482
18	0.5315321452
19	0.5107959798
20	0.4934620768
21	0.4749253337
22	0.4609223633
23	0.4451674805
24	0.433477417
25	0.4196859538
26	0.4084466553
27	0.397905721
28	0.3855751546
29	0.3787950033
30	0.3690556234
31	0.3587098389
32	0.3482769775
33	0.3402010701
34	0.3327233276
35	0.3227439168
36	0.3171342977
37	0.3121253459
38	0.3057717285
39	0.2995108032
40	0.2949652303
41	0.2888962402
42	0.2838748372
43	0.2805967204
44	0.2752659098
45	0.2697758789
46	0.2659274902
47	0.2607783
48	0.2551301066
49	0.2519058024
50	0.2470017904
51	0.2434743856
52	0.2389726969
53	0.2343860881
54	0.2315527751
55	0.2283004964
56	0.2255920207
57	0.2206978353
58	0.2183252767
59	0.2155735474
60	0.2135999552
61	0.2108289795
62	0.2087977905
63	0.2057121582
64	0.2036108398
65	0.2023317871
66	0.1994961344
67	0.197653951
68	0.1956505534
69	0.1932105916
70	0.1905020345
71	0.1899264933
72	0.188308431
73	0.1851998901
74	0.183149821
75	0.1813684489
76	0.17918396
77	0.1776443685
78	0.1763811849
79	0.1757234904
80	0.1749497477
81	0.1733110352
82	0.1727644043
83	0.1708298136
84	0.1695317179
85	0.1671249898
86	0.1666978455
87	0.1660444031
88	0.1656648356
89	0.1649917094
90	0.1644706421
91	0.1637521464
92	0.1633706665
93	0.1623433634
94	0.1615824178
95	0.1609737956
96	0.1606024984
97	0.1601290588
98	0.1588140157
99	0.1586668091
100	0.1578487244
101	0.1573649495
102	0.1566916199
103	0.1551504313
104	0.1537610372
105	0.153288147
106	0.1529904073
107	0.1524972127
108	0.1517812907
109	0.1516610921
110	0.1512316081
111	0.1507626648
112	0.1504624532
113	0.1502565308
114	0.1497402751
115	0.1493102417
116	0.1491305847
117	0.1488857931
118	0.1485516459
119	0.1482867839
120	0.1479649658
121	0.1477251994
122	0.1473845317
123	0.1471823018
124	0.147086436
125	0.1470783183
126	0.146807373
127	0.1466532694
128	0.1464171855
129	0.1463383789
130	0.1458192444
131	0.1456216736
132	0.1452744446
133	0.1436130473
134	0.1435339762
135	0.1431930542
136	0.1431064351
137	0.142779185
138	0.1425333049
139	0.1419612834
140	0.1415128377
141	0.1411020508
142	0.1407390645
143	0.1406213277
144	0.139860321
145	0.1394900309
146	0.1394295044
147	0.139175883
148	0.1390510152
149	0.1388838501
150	0.1386818644
151	0.1383474833
152	0.1376746928
153	0.1376042277
154	0.137397227
155	0.1373365173
156	0.1371950887
157	0.1371200663
158	0.1367637329
159	0.136684672
160	0.1359889628
161	0.1357886454
162	0.1355524902
163	0.1351234639
164	0.1348471375
165	0.1343750509
166	0.1343679301
167	0.1343183085
168	0.1341993306
169	0.1339535319
170	0.1339255371
171	0.1336473083
172	0.1335946859
173	0.1331046855
174	0.1330244548
175	0.1326621094
176	0.1315318909
177	0.131456543
178	0.1314535522
179	0.1312178141
180	0.1309138794
181	0.1300195516
182	0.1298690287
183	0.1296266479
184	0.1291805725
185	0.1287634379
186	0.1286966146
187	0.128141805
188	0.1280323893
189	0.1279621582
190	0.1275989278
191	0.1275306193
192	0.1272490133
193	0.1270889791
194	0.126899526
195	0.1268502096
196	0.126692454
197	0.1265375875
198	0.1260842997
199	0.1260261739
200	0.1259935303
201	0.1259064535
202	0.1255901896
203	0.1253947245
204	0.1251571452
205	0.1250360006
206	0.1243123779
207	0.1239393107
208	0.123236084
209	0.1231037903
210	0.122972819
211	0.1229678752
212	0.1228070984
213	0.1228026021
214	0.1226411235
215	0.1223249919
216	0.1221837158
217	0.12204422
218	0.1214550476
219	0.1212929077
220	0.1211772563
221	0.120970988
